timestamp,module,event
2024-01-20T23:07:50,topoaa,start
2024-01-20T23:07:56,topoaa,finish
2024-01-20T23:07:57,rigidbody,start
2024-01-21T11:10:10,rigidbody,finish
2024-01-21T11:10:11,caprieval,start
2024-01-21T11:41:51,caprieval,finish
2024-01-21T11:41:52,seletop,start
2024-01-21T11:41:52,seletop,finish
2024-01-21T11:41:53,caprieval,start
2024-01-21T11:43:26,caprieval,finish
2024-01-21T11:43:28,flexref,start
2024-01-21T16:05:20,flexref,finish
2024-01-21T16:05:21,caprieval,start
2024-01-21T16:06:49,caprieval,finish
2024-01-21T16:06:50,emref,start
2024-01-21T16:27:55,emref,finish
2024-01-21T16:27:55,caprieval,start
2024-01-21T16:29:28,caprieval,finish
2024-01-21T16:29:28,clustfcc,start
2024-01-21T16:29:49,clustfcc,finish
2024-01-21T16:29:50,seletopclusts,start
2024-01-21T16:30:14,seletopclusts,finish
2024-01-21T16:30:14,caprieval,start
2024-01-21T16:31:33,caprieval,finish
